AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
43,N03B,1.75,0.0118,7.338,0.0,-1,54422,na,FLOOD(5.68),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34506.5,28.0,1.700e-06,12,0.76,2029.1,-324.5,5.833e-09,-1.521e-13,39179,54422,ramp-limited,1.0000000,0.834,1.359,1.7,8.5
44,N04B,1.7239,0.0075,7.229,0.0,-1,54749,na,FLOOD(6.43),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34465.0,7.0,2.189e-06,12,0.49,2056.3,-243.6,9.794e-09,-2.500e-13,39268,54749,ramp-limited,1.0000000,0.9,0.884,1.7,8.0
45,N05B,1.6255,0.0067,6.817,0.0,63366,55898,na,FLOOD(-14.7),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34449.0,16.0,2.717e-06,12,0.47,2171.1,-215.4,1.105e-08,-2.776e-13,39552,55898,ramp-limited,0.9999845,0.93,0.661,1.6,7.5
46,N06B,1.6633,0.007,6.975,0.0,62430,55768,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34439.5,17.0,2.610e-06,12,0.47,2160.0,-228.1,1.064e-08,-2.689e-13,39505,55768,ramp-limited,0.9999846,1.047,0.847,1.7,7.6
47,N07B,1.6336,0.007,6.85,0.0,63163,56464,na,FLOOD(-8.71),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34516.0,18.0,2.752e-06,12,0.48,2221.8,-225.3,1.052e-08,-2.549e-13,39735,56464,ramp-limited,0.9999846,1.045,0.817,1.6,7.5
48,N08B,1.6845,0.007,7.064,0.0,63181,56373,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34425.0,30.0,2.177e-06,12,0.47,2225.2,-263.6,9.596e-09,-2.337e-13,39620,56373,ramp-limited,0.9999860,1.186,0.777,1.6,7.2
49,T01T,1.6878,0.0073,7.078,0.0,64088,57096,na,FLOOD(704.01),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34366.0,4.0,2.215e-06,11,0.48,2303.1,-240.8,1.136e-08,-2.878e-13,39762,57096,ramp-limited,1.0000000,1.3,0.99,1.6,8.2
50,T02T,1.6259,0.0074,6.818,0.0,64207,57461,na,FLOOD(720.14),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34421.0,17.0,2.787e-06,11,0.51,2328.9,-165.9,1.277e-08,-2.803e-13,39936,57461,ramp-limited,1.0000000,1.271,0.837,1.6,7.3
51,T03T,1.7356,0.0079,9.098,0.0,62912,56338,na,FLOOD(726.61),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34363.5,13.0,2.188e-06,11,0.51,2226.8,-245.7,1.072e-08,-2.734e-13,39574,56338,ramp-limited,1.0000000,1.085,0.984,1.6,8.9
52,T04T,1.6908,0.0069,8.863,0.296,63393,56764,na,FLOOD(657.31),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34438.5,12.0,2.623e-06,11,0.45,2258.6,-204.0,1.170e-08,-2.904e-13,39761,56764,ramp-limited,1.0000000,1.208,0.878,1.7,7.9
53,T05T,1.7536,0.0081,9.192,0.0,63309,56541,na,FLOOD(715.34),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34402.5,7.0,1.983e-06,11,0.51,2243.7,-242.2,1.159e-08,-3.021e-13,39653,56541,ramp-limited,0.9999851,1.769,1.018,1.7,10.2
54,T06T,1.6131,0.006,8.455,0.346,64223,-1,na,FLOOD(675.14),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34505.0,8.0,2.532e-06,8,0.39,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999854,2.135,1.031,1.6,9.8
55,T07T,1.7467,0.0071,9.156,0.0,63793,56902,na,FLOOD(695.41),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,5.189,34434.0,7.0,1.721e-06,10,0.44,2280.4,-285.3,1.071e-08,-2.801e-13,39738,56902,ramp-limited,0.9999854,1.346,1.143,1.7,9.5
56,T08T,1.8478,0.0079,8.717,0.405,62276,55967,na,FLOOD(797.04),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.718,4.448,34304.0,11.0,1.327e-06,10,0.47,2205.0,-376.7,3.513e-09,2.161e-14,39362,55967,ramp-limited,0.9999866,0.93,0.995,1.8,8.5
57,T01B,1.6933,0.0102,7.101,0.0,63100,56092,na,FLOOD(704.01),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34365.0,4.0,1.930e-06,11,0.67,2201.2,-223.5,1.226e-08,-3.232e-13,39526,56092,ramp-limited,1.0000000,2.162,0.993,1.6,8.2
58,T02B,1.6244,0.0102,6.812,0.0,63629,56448,na,FLOOD(720.14),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34420.5,17.0,2.628e-06,11,0.7,2226.6,-156.8,1.351e-08,-3.054e-13,39693,56448,ramp-limited,1.0000000,2.006,1.097,1.6,7.3
59,T03B,1.7403,0.0102,9.122,0.0,62271,55384,na,FLOOD(726.61),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34363.5,13.0,1.966e-06,11,0.65,2130.3,-237.6,1.123e-08,-2.985e-13,39346,55384,ramp-limited,1.0000000,1.98,1.021,1.6,8.9
60,T04B,1.691,0.0104,8.864,0.296,62650,55756,na,FLOOD(657.31),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34437.5,12.0,2.503e-06,11,0.68,2156.7,-192.3,1.257e-08,-3.281e-13,39520,55756,ramp-limited,1.0000000,1.798,0.94,1.7,7.9
61,T05B,1.7517,0.0102,9.182,0.0,62502,55524,na,FLOOD(715.34),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34402.5,7.0,1.882e-06,11,0.64,2140.6,-230.4,1.224e-08,-3.339e-13,39412,55524,ramp-limited,0.9999844,1.536,0.93,1.7,10.2
62,T06B,1.6103,0.0074,6.753,0.0,64217,57108,na,FLOOD(675.14),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34503.5,7.0,2.601e-06,11,0.51,2286.3,-171.3,1.305e-08,-2.804e-13,39906,57108,ramp-limited,0.9999846,1.035,0.957,1.6,9.8
63,T07B,1.7491,0.0067,9.168,0.0,62698,55845,na,FLOOD(695.41),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,5.189,34433.5,5.0,1.778e-06,10,0.41,2172.9,-265.9,1.171e-08,-3.225e-13,39490,55845,ramp-limited,0.9999846,0.803,1.104,1.7,9.5
64,T08B,1.85,0.0157,7.758,0.397,-1,54887,na,FLOOD(797.04),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34304.0,12.0,9.720e-07,10,0.92,2095.1,-363.0,2.382e-09,9.673e-14,39107,54887,ramp-limited,0.9999856,0.769,1.167,1.8,8.5
