23:01:30:03 2.03 2.14 2.21 2.10 -5.797 16.3 1.33
23:01:30:48 2.11 2.23 2.39 2.06 -5.797 16.3 1.33
23:01:32:16 2.29 2.28 2.32 1.82 -5.797 16.2 1.34
23:01:33:01 2.52 2.35 2.65 2.80 -5.797 16.2 1.34
23:01:33:48 2.46 2.61 2.54 2.53 -5.797 16.2 1.34
23:01:35:12 2.52 2.66 2.33 2.60 -5.790 16.2 1.35
23:01:35:58 2.40 2.55 2.62 2.39 -5.790 16.2 1.35
23:01:36:45 2.53 2.64 2.62 2.58 -5.790 16.1 1.35
23:01:38:36 2.63 2.90 2.63 2.66 -5.784 16.1 1.36
23:01:39:22 2.68 2.81 2.61 2.63 -5.784 16.1 1.36
23:01:40:07 2.51 2.56 2.75 2.57 -5.784 16.1 1.36
23:01:41:45 2.48 2.53 2.87 2.20 -5.784 16.1 1.37
23:01:42:32 2.31 2.16 2.59 2.37 -5.784 16.1 1.37
23:01:43:18 2.33 2.39 2.37 2.16 -5.784 16.1 1.38
23:01:44:56 2.32 1.91 2.33 2.24 -5.784 16.1 1.38
23:01:45:42 2.59 2.95 2.54 2.51 -5.784 16.1 1.39
23:01:46:28 2.50 2.41 2.35 2.40 -5.784 16.0 1.39
23:01:47:55 2.39 2.77 2.78 2.41 -5.784 16.1 1.39
23:01:48:41 2.33 2.37 2.56 2.39 -5.784 16.0 1.40
23:01:49:27 2.42 2.57 2.43 2.43 -5.784 16.0 1.40
23:01:50:56 2.27 2.47 2.36 2.24 -5.777 16.0 1.41
23:01:51:42 2.26 2.38 2.54 2.42 -5.777 16.0 1.41
23:01:52:28 2.60 2.30 3.04 2.86 -5.777 16.0 1.41
23:01:53:58 2.59 2.59 2.65 2.68 -5.777 16.0 1.42
23:01:54:44 2.18 2.36 2.44 2.32 -5.777 16.0 1.42
23:01:55:30 2.18 2.52 2.43 2.20 -5.777 16.0 1.43
23:01:56:58 2.20 2.26 2.27 2.08 -5.777 15.9 1.43
23:01:57:45 2.17 2.62 2.40 2.22 -5.777 15.9 1.44
23:01:58:31 2.27 1.57 2.51 2.58 -5.777 16.0 1.44
23:01:59:57 2.47 2.33 2.49 2.47 -5.770 15.9 1.45
23:02:00:43 2.17 2.33 2.36 2.35 -5.770 15.9 1.45
23:02:01:29 2.29 2.48 2.45 2.24 -5.770 15.9 1.45
23:02:03:07 2.25 1.60 2.41 2.27 -5.770 15.9 1.46
23:02:03:53 2.70 2.96 2.73 2.57 -5.770 15.9 1.47
23:02:04:40 2.51 2.26 2.61 2.41 -5.770 15.8 1.47
23:02:06:19 2.82 3.23 2.66 2.52 -5.770 15.8 1.48
23:02:07:05 2.54 2.54 2.75 2.43 -5.764 15.8 1.48
23:02:07:50 2.71 2.59 2.99 2.41 -5.764 15.8 1.49
23:02:09:29 2.70 2.49 3.13 2.37 -5.764 15.8 1.50
23:02:10:15 2.84 3.05 3.06 2.83 -5.764 15.8 1.50
23:02:11:02 3.24 3.21 2.93 2.64 -5.764 15.8 1.50
23:02:12:41 3.22 3.00 3.36 2.74 -5.764 15.8 1.51
23:02:13:27 2.67 2.79 2.67 2.44 -5.764 15.8 1.52
23:02:14:13 2.65 2.55 2.80 2.45 -5.764 15.7 1.52
23:02:15:52 2.67 3.06 3.10 2.58 -5.757 15.7 1.53
23:02:16:40 2.97 2.96 4.04 3.64 -5.757 15.7 1.54
23:02:17:27 2.89 2.80 2.93 3.63 -5.757 15.7 1.54
23:02:19:02 3.13 3.18 3.42 2.50 -5.757 15.7 1.55
23:02:19:48 3.36 3.70 3.38 3.23 -5.757 15.7 1.55
23:02:20:35 3.61 2.54 3.39 3.64 -5.757 15.7 1.56
23:02:22:12 3.63 3.11 3.08 3.06 -5.757 15.6 1.57
23:02:22:58 3.25 3.16 2.92 3.08 -5.751 15.6 1.57
23:02:23:44 2.92 2.61 2.81 3.25 -5.750 15.6 1.58
23:02:25:22 2.74 2.75 2.84 3.24 -5.750 15.6 1.59
23:02:26:09 2.82 2.85 2.79 3.06 -5.750 15.6 1.59
23:02:26:53 2.69 2.68 2.66 2.85 -5.750 15.6 1.60
23:02:28:30 2.78 1.64 3.46 2.82 -5.750 15.6 1.61
23:02:29:17 2.95 3.08 2.49 3.08 -5.750 15.6 1.61
23:02:30:03 2.88 3.95 2.84 2.99 -5.750 15.6 1.62
23:02:31:41 2.82 2.66 2.73 3.19 -5.750 15.6 1.63
23:02:32:27 2.27 2.57 2.46 2.58 -5.750 15.6 1.64
23:02:33:14 2.56 2.56 2.63 2.46 -5.750 15.5 1.64
23:02:34:38 2.75 2.89 2.94 2.83 -5.750 15.5 1.65
23:02:35:25 3.07 3.50 3.17 3.10 -5.739 15.5 1.66
23:02:36:11 3.30 5.10 3.04 3.26 -5.739 15.5 1.66
23:02:37:49 2.75 3.71 3.51 3.20 -5.739 15.5 1.68
23:02:38:36 2.67 2.68 2.89 2.87 -5.739 15.5 1.68
23:02:39:23 2.67 2.69 2.54 2.64 -5.739 15.5 1.69
23:02:40:59 2.72 3.62 2.80 3.09 -5.739 15.5 1.70
23:02:41:45 2.75 2.74 2.81 3.35 -5.739 15.5 1.71
23:02:42:30 2.92 2.42 2.83 2.02 -5.739 15.5 1.71
23:02:44:09 2.78 2.62 3.49 3.02 -5.739 15.5 1.73
23:02:44:55 2.60 2.77 2.58 2.64 -5.739 15.5 1.73
23:02:45:42 2.52 2.49 2.62 2.45 -5.739 15.5 1.74
